id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
2264,0,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998,specification and verification of abstract database types,"d stemple , t sheard","proceedings of the 3rd acm sigact-sigmod symposium on & hellip ; ,",1984.0
2266,0,query processing techniques for arrays,"a marathe , k salem",sigmod conference,1999,transaction-processing techniques,we weihl,"acm press frontier series ,",1993.0
2269,0,opt + + : an object-oriented implementation for extensible database query optimization,"n kabra , d dewitt",vldb j.,1999,design and implementation of the rol deductive object-oriented database system,m liu,"journal of intelligent information systems ,",2000.0
2270,0,sampling large databases for association rules,h toivonen,vldb,1996,parallel mining of association rules,"r agrawal , jc shafer",,
2271,0,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,accelerating em for large databases,"b thiesson , c meek , d heckerman","machine learning ,",2001.0
2274,0,efficient filtering of xml documents with xpath expressions,"c chan , p felber , m garofalakis , r rastogi",vldb j.,2002,efficient algorithm for evaluating multiple xpath expressions,"m yuriyama , h nakamura",vldb,
2279,0,guest editorial,,,2003,editorial,"p muschamp , j hill","bt technology journal ,",2004.0
2280,0,xmark : a benchmark for xml data management,"a schmidt , f waas , m kersten , m carey , i manolescu , r busse",vldb,2002,data hub : a framework for science data management,"yp li , th handley jr , er dobinson","proceedings 18th international conference in very large data & hellip ; ,",
2281,1,answering complex sql queries using automatic summary tables,"m zaharioudakis , r cochrane , g lapis , h pirahesh , m urata",sigmod conference,2000,answering complex sql queries using automatic summary tables,"m zaharioudakis , r cochrane , g lapis , h pirahesh ,","proceedings of the 2000 acm sigmod international conference & hellip ; ,",2000.0
2282,0,tracing the lineage of view data in a warehousing environment,"y cui , j widom , j wiener",acm trans . database syst .,2000,evaluation of materialized view indexing in data warehousing environments,"l bellatreche , k karlapalem , q li",,
2283,1,petabyte databases,,,1999,petabyte databases,d duellmann,,
2287,1,information management challenges from the aerospace industry,s sripada,vldb,2002,information management challenges from the aerospace industry,sm sripada,"vldb ,",2002.0
2290,1,approximate query translation across heterogeneous information sources,"k chang , h garcia-molina",vldb,2000,approximate query translation across heterogeneous information sources,"cck chang , h garcia-molina",,
2291,0,repositories and object oriented databases,p bernstein,sigmod record,1998,a cost model for clustered object-oriented databases,"zh tangot , stg france",,
2292,0,incremental maintenance of views with duplicates,"t griffin , l libkin",sigmod conference,1995,performance analysis of whips incremental maintenance,"y zhuge , h garcia-molina",,
2294,1,relational databases for querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton",vldb,1999,relational databases for querying xml documents : limitations and opportunities,"j shanmugasundaram , k tufte","vldb ,",1999.0
2300,0,an overview of data warehousing and olap technology,"s chaudhuri , u dayal",sigmod record,1997,data warehousing : an overviewâ ??,g gagnon,"pc magazine , february ,",
2301,0,the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,implementation of data abstraction in the relational database system ingres,j ong,"sigmod record ,",1984.0
2302,0,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmod record,1998,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",,
2305,0,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001,guest editor 's introduction : visualization,ae kaufman,"computer ,",1994.0
2307,0,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb,2002,the sr-tree : an index structure for high dimensional data,"n katayama , s satoh","acm sigmod conference ,",
2310,1,a new sql-like operator for mining association rules,"r meo , g psaila , s ceri",vldb,1996,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",
2311,0,real-time index concurrency control,"j haritsa , s seshadri",sigmod record,1996,optimistic concurrency control,"ht kung , jt robinson","acm transactions on database systems ,",
2312,0,lh * rs : a high-availability scalable distributed data structure using reed solomon codes,"w litwin , t schwarz",sigmod conference,2000,range queries to scalable distributed data structure rp * .,"m tsangou , s ndiaye , m seck , w litwin",,
2317,0,a framework for information visualisation,"j kennedy , k mitchell , p barclay",sigmod record,1996,an information quality management framework for cooperative information systems,"p missier , c batini",,
2318,0,transaction timestamping in ( temporal ) databases,"c jensen , d lomet",vldb,2001,event-join optimization in temporal relational databases,"a segev , h gunadhi","vldb ,",1989.0
2320,0,databases and visualization,d keim,sigmod conference,1996,dynamic video summarization and visualization,"n jeho , ht ahmed","proc . of acm multimedia ,",
2321,0,the mariposa distributed database management system,j sidell,sigmod record,1996,access path selection ma rela-uwd database management system,p selmgerâ ? ¦,"proceedings of the 1979 sigmod conference , boston , ma , may ,",
2323,0,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",,1994.0
2324,0,managing web data,,,1999,managing risk,e greenberg,"pc magazine ,",
2326,0,research directions in biodiversity informatics,j schnase,vldb,2000,"research directions in biodiversity and ecosystem informatics . report of an nsf , usgs","d maier , e landis , j cushing , a frondorf , a","nasa workshop on biodiversity and ecosystem informatics ( & hellip ; ,",
2329,0,the araneus web-base management system,"g mecca , p atzeni , a masci , p merialdo , g sindoni",sigmod conference,1998,extensible database management systems,"mj carey , lm haas","sigmod record ,",1990.0
2331,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,a framework for class partitioning in object-oriented databases,"k karlapalem , q li","distributed and parallel databases ,",2000.0
2332,0,active views for electronic commerce,"s abiteboul , b amann , s cluet , a eyal , l mignet , t milo",vldb,1999,data management issues in electronic commerce,mt oezsu,"sigmod record ,",1999.0
2334,0,automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya",vldb,2000,materialization view selection in a multidimensional database,"e baralis , s paraboschi , e teniente",proceedings of the 23rd vldb,
2335,0,dblearn : a system prototype for knowledge discovery in relational databases,"j han , y fu , y huang , y cai , n cercone",sigmod conference,1994,aaai-94 workshop knowledge discovery in databases,"um fayyad , r uthurusamy","seattle , washington ,",
2336,0,algorithms for mining distance-based outliers in large datasets,"e knorr , r ng",vldb,1998,"andk . shim , 2000 . â ?? efficient algorithms for miningoutliers fromlarge datasetsâ ??","s ramaswarny , r rastogi",proc . of theacm sigmod 2000 int . conference on management of,
2337,0,guest editorial,,,2003,guest editorial : introduction,"ld dierking , lmw martin","science education ,",
2340,0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,spatial query processmg m an object-oriented database system,ja orenstem,"proc acm sigmod intâ ?? l conf on the management of data ,",
2342,1,high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson",sigmod conference,1997,high-performance sorting on networks of workstations,da patterson,,
2345,0,open object database management systems,,,1994,"transaction management in an object-oriented database system , acm sigmod int","j garza , w kim","conf . on management of data , chicago , illinois ,",
2346,1,capability based mediation in tsimmis,"c li , r yerneni , v vassalos , h garcia-molina , y papakonstantinou , j ullman , m valiveti",sigmod conference,1998,etal . capability-based mediation in tsimmis,"c li , r yerneni","proc . sigmod conference ,",
2348,0,an axiomatic model of dynamic schema evolution in objectbase systems,"r peters , m жzsu",acm trans . database syst .,1997,change propagation in an axiomatic model of schema evolution for objectbase management systems,"rj peters , k barker",,
2349,0,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995,a performance study of concurrency control in a real-time main memory database system,s liu,"acm sigmod record ,",1993.0
2350,0,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003,a model of authorization for next-generation database systems,"r fausto , b elisa , k won , w darrell","acm trans on database systems ,",
2351,0,t2 : a customizable parallel database for multi-dimensional data,"c chang , a acharya , a sussman , j saltz",sigmod record,1998,parallel query support for multidimensional data,k hahn,"vldbâ ?? 2001 workshop-supercomputing databases , rome , italy ,",
2353,0,apex : an adaptive path index for xml data,"c chung , j min , k shim",sigmod conference,2002,al. d ( k ) - index : an adaptive structural summares for graph-based data,c qun,,2003.0
2354,0,editorial,,,2002,guest editorial,c allocchio,"computer networks ,",2000.0
2357,0,sting : a statistical information grid approach to spatial data mining,"w wang , j yang , r muntz",vldb,1997,an information-theoretic approach to data mining,"m last , o maimon","submitted to publication ,",1999.0
2358,0,belief reasoning in mls deductive databases,h jamil,sigmod conference,1999,integrity checking in deductive databases,"r kowalsky , f sadri , p soper","proc . of the 13th vldb , brighton ,",
2359,0,indexing the distance : an efficient method to knn processing,"c yu , b ooi , k tan , h jagadish",vldb,2001,gorder : an efficient method for knn join processing,"c xia , h lu , bc ooi , j hu","proceedings of the international conference on very large & hellip ; ,",2004.0
2360,0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,spatial query procesing in an object oriented database system,ao jack,acm proceedings,
2361,0,converting relational to object-oriented databases,j fong,sigmod record,1997,a model for active object oriented databases,", t milo","vldb ,",1991.0
2364,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,queries and query processing in object-oriented database systems,"dd straube , mt ã?zsu","acm transactions on information systems ( tois ) ,",1990.0
2365,1,energy efficient indexing on air,"t imielinski , s viswanathan , b badrinath",sigmod conference,1994,energy efficient indexing on air,"t imielinsky , s viswanathan , br badrinath","proc . of intl. conf . on managm . of data-acm-sigmod ,",
2367,0,open object database management systems,,,1994,the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",
2369,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,multimedia database management ( panel session ),"d badal , a cardenas , p mantey , f tompa , d","acm sigmod record ,",1985.0
2371,0,using quantitative information for efficient association rule generation,"b pєssas , w jr. , m carvalho , r resende",sigmod record,2000,mining association rules from quantitative data,"tp hong , cs kuo , sc chi","intelligent data analysis ,",1999.0
2373,0,on views and xml,s abiteboul,sigmod record,1999,on database theory and xml,d sicui,sigmod,
2374,0,editor 's notes,m franklin,sigmod record,1997,editor 's notes,l sechrest,"new directions for program evaluation ,",1993.0
2375,0,distributed query evaluation on semistructured data,d suciu,acm trans . database syst .,2002,query rewriting for semistructured data,y papakonstantinou,,
2377,0,strudel : a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1997,ew design of a multi-level file management system,h ver,"proc . acm 21st nat . conf. , aug ,",
2383,1,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,laks vs lakshmanan . a foundation for multi-dimensional database,m gyssens,"proceedings of the 23rd vldb conference , athens , greece ,",
2385,0,repositories and object oriented databases,p bernstein,sigmod record,1998,a taxonomy for secure object-oriented databases,"ms olivier , sh von solms","acm transactions on database systems ,",1994.0
2387,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,multimedia data base management : applications and problems,s christodoulakis,"proceedings , acm-sigmod",
2390,0,editor 's notes,m franklin,sigmod record,2000,editor 's notes,nl smith,"new directions for program evaluation ,",1981.0
2391,0,managing uncertainty in sensor database,"r cheng , s prabhakar",sigmod record,2003,managing uncertainty in project portfolio cost estimation,"i stamelos , l angelis","information & software technology ,",2001.0
2394,0,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,fast algorithms for mining association rules in databases,"r agrawal , r srikant","the 20th int &#39; l conf . on vldb , chile ,",
2395,1,a generic approach to bulk loading multidimensional index structures,"j bercken , b seeger , p widmayer",vldb,1997,widmayer : â ?? a general approach to bulk loading multidimensional index structuresâ ??,s van den bercken,,1997.0
2400,0,database research at ut arlington,"s chakravarthy , y aslandogan , r elmasri , l fegaras , j oh",sigmod record,2003,database research at citri,"r sacks-davis , k ramamohanarao","sigmod record ,",1992.0
2401,0,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,analytic models for database management system,i miyamoto,"proc . of int . conf . on vldb , sept ,",
2402,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,rule management in objectoriented database systems,"o diaz , nw paton , pmd gray","proc . vldb ,",
2404,0,a shrinking-based approach for multi-dimensional data analysis,"y shi , y song , a zhang",vldb,2003,lvs â ?? a foundation for multi-dimensional databasesâ ??,ml gyssens,"proc . 22 ndvldb conference , india ,",
2405,0,improving timeliness in real-time secure database systems,"s son , r david , b thuraisingham",sigmod record,1996,issues and approaches to design of real-time database systems,m singhal,"sigmod record ,",1988.0
2406,1,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994,efficient and effective clustering methods or spatial data mining,"r ng , j han","proc . 1994 int . conf . very large data bases , pages144 { 155 ,",
2408,1,sleepers and workaholics : caching strategies in mobile environments,"d barbarс , t imielinski",vldb j.,1995,"ã cents â ? ¬ å?sleepers and workaholics : caching strategies for mobile environments , ã cents â ? ¬ â ?","d barbara , t imielinski",acm,
2409,0,lambda-db : an odmg-based object-oriented dbms,"l fegaras , c srinivasan , a rajendran , d maier",sigmod conference,2000,tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991.0
2410,1,optimization of queries with user-defined predicates,"s chaudhuri , k shim",vldb,1996,optimization ofqueries with user-defined predicates,"s chaudhuri , k shim",proc . ofthe conf . on very large data bases,
2411,0,optimizing queries with universal quantification in object-oriented and object-relational databases,"j clauпen , a kemper , g moerkotte , k peithner",vldb,1997,processing temporal queries in the context of object-oriented databases,"l wang , m wing , c davis , n revell","information and software technology ,",1999.0
2413,0,falcon : feedback adaptive loop for content-based retrieval,"l wu , c faloutsos , k sycara , t payne",vldb,2000,keyblock : an approach for content-based image retrieval,l zhu,,
2415,1,"building a scaleable geo-spatial dbms : technology , implementation , and evaluation","j patel , j yu , n kabra , k tufte , b nag , j burger , n hall , k ramasamy , r lueder , c ellmann , j kupsch , s guo , d dewitt , j naughton",sigmod conference,1997,"building a scalable geo-spatial database system : technology , implementation , and evaluation","j patel , j yu , n kabra , k tufte , b nag , j burger ,","proc . acm sigmod int . conf . on management of data ,",
2416,0,parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,1997,parametric query optimization for linear and piecewise linear cost functions,"a hulgeri , s sudarshan","vldb ,",2002.0
2418,0,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995,an introduction to spatial databases,a guting,"vldb journal ,",
2421,0,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996,a model for optimal database allocation in distributed computer systems,"gm chiu , cs raghavendra","ieee computer ,",
2423,0,integration approaches for cim,,,1995,coordination approaches for cim,"mc norrie , m wunderli , r montau , u leonhardt , w",,
2425,0,temporal aggregation in active database rules,"i motakis , c zaniolo",sigmod conference,1997,join operations in temporal databases,"d gao , cs jensen , rt snodgrass , md soo","the vldb journal the international journal on very large & hellip ; ,",2005.0
2427,0,chair 's message,,,1999,treasurer 's message,j hammer,sigmod,2000.0
2428,1,expiring data in a warehouse,"h garcia-molina , w labio , j yang",vldb,1998,august 1998 . expiring data in a warehouse,"h garcia-molina , wj labio , j yang",& hellip ; 24th intl. conference on very large data bases ( vldbâ ?? 98 ) (,
2430,0,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002,semantic b2b integration,c bussler,,
2433,0,an orthogonally persistent java,"m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,1996,orthogonally persistent object stores,"mp atkinson , m morrison","vldb journal ,",
2434,0,towards automated performance tuning for complex workloads,"k brown , m mehta , m carey , m livny",vldb,1994,towards a framework for defining internet performance metrics,v paxson,"proceedings of inet ,",1996.0
2435,0,e-services - guest editorial,,,2001,guest editorial,bv gray,"journal of research in science teaching ,",1999.0
2438,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,integrating association rule mining with databases : alternatives and implications,"s sarawagi , s thomas , r agrawal","acm sigmod intl. conf . management of data ,",
2439,0,on the computation of relational view complements,"j lechtenbіrger , g vossen",acm trans . database syst .,2003,on the computation of the transitive closure of relational operators,ye ioannidis,"vldb ,",1986.0
2440,0,sequence query processing,"p seshadri , m livny , r ramakrishnan",sigmod conference,1994,toward learning based web query processing,"d yanlei , l hongjun , c ssongtingâ ? ¦","proceedings of 26th international conference on very large & hellip ; ,",
2442,0,real-time index concurrency control,"j haritsa , s seshadri",sigmod record,1996,firm real-time concurrency control,"jr haritsa , mj carey , m livny","& hellip ; of concurrency control mechanisms in centralized database & hellip ; ,",1995.0
2444,0,unisql 's next-generation object-relational database management system,"a d'andrea , p janus",sigmod record,1996,implementation of magic-sets in a relational database system,"is mumick , h pirahesh","sigmod conference ,",1994.0
2446,0,interview with avi silberschatz,,,2002,personal interview with author,d byrd,,2004.0
2447,0,xpath processing in a nutshell,"g gottlob , c koch , r pichler",sigmod record,2003,uml in a nutshel,ss alhir,,
2450,0,editor 's notes,j widom,sigmod record,1995,editorsâ ?? notes,"l yorks , e kasl","new directions for adult and continuing education ,",2002.0
2451,0,a case-based approach to information integration,"m panti , l spalazzi , a giretti",vldb,2000,a new approach to intranet search based on information extraction,"h li , y cao , j xu , y hu , s li , d meyerzon","proceedings of the 14th acm international conference on & hellip ; ,",2005.0
2452,1,space-efficient online computation of quantile summaries,"m greenwald , s khanna",sigmod conference,2001,space-efficientonline computation of quantile summaries,mgs khanna,"proceedings of acm sigmod ,",
2455,0,efficient algorithms for mining outliers from large data sets,"s ramaswamy , r rastogi , k shim",sigmod conference,2000,some efficient algorithms for rough set methods,"sh nguyen , hs nguyen",proc .,
2456,0,guest editorial : databases and the web,,,2000,guest editorial,h simon,"public administration review ,",1995.0
2459,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,temporal database system implementations,m bã ¶ hlen,"acm sigmod record ,",1995.0
2461,0,efficient progressive skyline computation,"k tan , p eng , b ooi",vldb,2001,indexing for progressive skyline computation,"pk eng , bc ooi , kl tan","data and knowledge engineering ,",2003.0
2462,0,wsq/dsq : a practical approach for combined querying of databases and the web,"r goldman , j widom",sigmod conference,2000,"iso/iec . [ r. goldman , 2000 ] r. goldman , jw ( 2000 ) . wsq/dsq : a practical approach for combined",s image,proc . of the acm sigmod int . conf . on management of,
2464,0,a new sql-like operator for mining association rules,"r meo , g psaila , s ceri",vldb,1996,hash based parallel algorithms for mining association rules,"t shintani , m kitsuregawa",,
2468,0,unisql/x unified relational and object-oriented database system,w kim,sigmod conference,1994,concurrency control and object-oriented databases,"ah skarra , sb zdonik","acm press frontier series ,",1989.0
2469,0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,"calibrating the query optimizer cost model of iro-db , and object-oriented federated database system","gg gst , f sha , h tang",proceedings of the international conference on very large,
2470,0,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995,semantics and implementation of schema evolution in object-oriented databases,"j barnejee , w kim , hj kim , h korth","sigmod records ,",1987.0
2473,0,incremental maintenance for materialized views over semistructured data,"s abiteboul , j mchugh , m rys , v vassalos , j wiener",vldb,1998,incremental maintenance of externally materialized views,"m staudt , m jarke","vldb ,",1996.0
2476,0,safe stratified datalog with integer order does not have syntax,"a stolboushkin , m taitslin",acm trans . database syst .,1998,safe stratified datalog with integer order programs,pz revesz,,
2477,0,parallelising oodbms traversals : a performance evaluation,"d dewitt , j naughton , j shafer , s venkataraman",vldb j.,1996,et alii ( 1991 ) . paws : a performance evaluation tool for parallel computing systems,d pease,ieee,
2481,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,tutorial : semistructured data,p buneman,"proceedings of acm symposium on principles of database & hellip ; ,",
2482,0,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,intelligent cache management for mobile data warehouse systems :,sm huang,"journal of database management ,",2005.0
2483,0,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003,on computing correlated aggregates over continuous data streams,"j gehrke , f korn , d srivastava",,
2484,1,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree automata-based approach,c koch,vldb,2003,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree,c koch,"proceedings of the international conference on very large & hellip ; ,",2003.0
2485,0,incremental maintenance of externally materialized views,"m staudt , m jarke",vldb,1996,incremental computation and maintenance of temporal aggregates,y jun,,
2486,0,the infosleuth project,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1997,the â ?? superâ ?? project,"m andersson , am auddino , y dupont , e fontana , m","proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0
2487,0,semantic access : semantic interface for querying databases,"n rishe , j yuan , r athauda , s chen , x lu , x ma , a vaschillo , a shaposhnikov , d vasilevsky",vldb,2000,isis : interface for a semantic information system,"kj goldman , sa goldman , pc kanellakis , sb zdonik","proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985.0
2488,0,fast algorithms for projected clustering,"c aggarwal , c procopiuc , j wolf , p yu , j park",sigmod conference,1999,fastmap : a fast algorithm for indexing,"c faloutsos , ki lin","data-mining and visualization of traditional and multimedia & hellip ; ,",
2490,1,picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000,picodbms : scaling down database techniques for the smartcard ( best paper award ),"c bobineau , l bouganim , p pucheral , p valduriez","int . conf . on very large databases ( vldb ) ,",
2491,0,the design and performance evaluation of alternative xml storage strategies,"f tian , d dewitt , j chen , c zhang",sigmod record,2002,the design and evaluation of a storage system for pervasive computing,e lemar,,
2492,0,reminiscences on influential papers,,,2001,reminiscences on influential papers,hgm stanlbrd,"sigmod record ,",1998.0
2494,0,extracting schema from semistructured data,"s nestorov , s abiteboul , r motwani",sigmod conference,1998,ozone : integrating structured and semistructured data,"t lahiri , s abiteboul , j widom","lecture notes in computer science ,",2000.0
2496,0,guest editorial,,,2002,guest editorial wireless ad hoc networks,"zj haas , m gerla , db johnson , ce perkins , mb","selected areas in communications , ieee journal on ,",1999.0
2498,0,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998,a high-performance distributed algorithm for mining association rules,"a schuster , r wolff , d trock","knowledge and information systems ,",2005.0
2500,0,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998,updating relational databases through object-based views,"t barsalou , g wiederhold",,
2501,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,"w. , lam , h. oql : a query language for manipulating object-oriented databases","am alashqur , sy su","proc . int . conf . very large databases , amsterdam , the & hellip ; ,",
2504,1,atomicity versus anonymity : distributed transactions for electronic commerce,j tygar,vldb,1998,atomicity versus anonymity : distributed transaction for electronic commerce ( invited talks ) [ c i. in :,jd tygar,"proceedings of the 24th annual international conference on & hellip ; ,",
2506,1,niagaracq : a scalable continuous query system for internet databases,"j chen , d dewitt , f tian , y wang",sigmod conference,2000,niagaracq : a scalable continuous query system for internet databases,"c jian-jun , j dewitt david , f tianâ ? ¦","sigmod conference ,",
2507,0,multi-step processing of spatial joins,"t brinkhoff , h kriegel , r schneider , b seeger",sigmod conference,1994,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
2510,1,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996,metu interoperable database system,"a dogac , e kilic , g ozhan , f ozcan , s nural , b","sigmod record ,",1995.0
2512,1,an online video placement policy based on bandwith to space ratio ( bsr ),"a dan , d sitaram",sigmod conference,1995,an online video placement policy based on bandwidth to space ratio,"a dan , d sitaram","proceedings of the acm sigmod conference ,",
2513,0,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,access path selection in a relational database system,"p selinger , mm astrahan , dd chamberlin , r lorie ,","proc . 1979 acm-sigmod conference on management of data , & hellip ; ,",
2517,0,on the costs of multilingualism in database systems,"a kumaran , j haritsa",vldb,2003,interoperability in multidatabase systems,"d mcleod , a sheth","tutorial notes-the 20th vldb conference , september ,",
2521,0,energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,place : protocol for location and coordinate estimation -- a wireless sensor network approach,"y zhang , l cheng","computer networks ,",2004.0
2522,0,commercial use of database technology,h schіning,vldb,2003,distributed database technology - a survey,ra davenport,"computer networks ,",
2523,0,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel",sigmod conference,1997,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","r agrawal , ki lin , hs sawhney , k shim","vldb ,",1995.0
2525,0,automatic subspace clustering of high dimensional data for data mining applications,"r agrawal , j gehrke , d gunopulos , p raghavan",sigmod conference,1998,hd-eye : visual clustering of high dimensional data,"a hinneburg , da keim , m wawryniuk","sigmod conference ,",2002.0
2528,0,information director 's message,,,2000,director 's message,"ofe announcements , webb learning , f commons",,
2530,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,database machines and database management,e ozkarahan,,1986.0
2533,0,query processing and optimization in oracle rdb,"g antoshenkov , m ziauddin",vldb j.,1996,query optimization for xml,"j mchugh , j widom","vldb ,",1999.0
2534,0,an introduction to spatial database systems,r gќting,vldb j.,1994,introduction to a system for distributed databases,"jb rothnie , pa bernstein , sa fox , n goodman , mm","acm trans . on database systems ,",
2536,0,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,fast algorithems for association rules,"r agrawal , r srikant","proc . of 20th vldb conference ,",
2537,1,the pyramid-technique : towards breaking the curse of dimensionality,"s berchtold , c bіhm , h kriegel",sigmod conference,1998,"b } ohm b , kriegel hp ( 1998 ) the pyramidtechnique : towards breaking the curse of dimensionality",s berchtold,"proceedings of the 1998 acm sigmod international conference & hellip ; ,",
2539,0,query execution techniques for caching expensive methods,"j hellerstein , j naughton",sigmod conference,1996,query processing techniques for multiversion access methods,"b jvd , b seeger",,1996.0
2541,0,querying multiple features of groups in relational databases,"d chatziantoniou , k ross",vldb,1996,optimizing multiple dimensional queries simultaneously in multidimensional databases,"w liang , me orlowska , jx yu","the vldb journal the international journal on very large & hellip ; ,",2000.0
2542,0,an annotated bibliography of benchmarks for object databases,a chaudhri,sigmod record,1995,annotated z bibliography,"jp bowen , s stepney , r barden","information and software technology ,",1995.0
2543,0,static detection of security flaws in object-oriented databases,k tajima,sigmod conference,1996,semantics and implementation of schema evolution in object-oriented database systems,"j banerjee , w kim , hj kim , hf korth",proceedings of the international conference on management of,
2544,1,sleepers and workaholics : caching strategies in mobile environments,"d barbarс , t imielinski",sigmod conference,1994,"sleepers and workaholics : caching strategies in mobile environments ( extended version ) , âº mobidata :","d barbara , t imielinski","mobile computing ,",
2547,0,database design for incomplete relations,"m levene , g loizou",acm trans . database syst .,1999,update semantics for incomplete databases,"s abgra abiteboul , g grahne",vldb,
2548,1,sql/cli - a new binding style for sql,"m venkatrao , m pizzo",sigmod record,1995,sql/cli â ?? a new binding style for sql,"m venkatrao , m pizzo","acm sigmod record ,",1995.0
2550,0,a data model and data structures for moving objects databases,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000,a model for active object oriented databases,", t milo","vldb ,",1991.0
2551,0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,caching and database scaling in distributed shared-nothing information retrieval systems,"a tomasic , h garcia-molina",,
2553,1,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,fast algorithms for mining association rules . 20th int,"r agrawal , r skrikant","conf . on very large databases ( vldb ) . santiago de chile ,",
